education,prior_trips,origin,id,arm_id,reason,profession
College degree,Has visited once for vacation,Poland,1,1,Escaping political/religious persecution,Waiter
No formal education,"Two trips, both during the holidays",Germany,2,1,Escalating violence in home country,Janitor
College degree,Has visited once for vacation,Poland,3,2,Escaping political/religious persecution,Information Technology Specialist
No formal education,"Two trips, both during the holidays",Germany,4,2,Escalating violence in home country,Construction Worker
College degree,Has visited once for vacation,Sudan,5,3,Escaping political/religious persecution,Waiter
No formal education,"Two trips, both during the holidays",Somalia,6,3,Escalating violence in home country,Janitor
College degree,Has visited once for vacation,Sudan,7,4,Escaping political/religious persecution,Information Technology Specialist
No formal education,"Two trips, both during the holidays",Somalia,8,4,Escalating violence in home country,Construction Worker
College degree,Has visited once for vacation,Poland,9,5,Seeking better employment opportunities,Waiter
No formal education,"Two trips, both during the holidays",Germany,10,5,Greater access to high-paying jobs,Janitor
College degree,Has visited once for vacation,Poland,11,6,Seeking better employment opportunities,Information Technology Specialist
No formal education,"Two trips, both during the holidays",Germany,12,6,Greater access to high-paying jobs,Construction Worker
College degree,Has visited once for vacation,Sudan,13,7,Seeking better employment opportunities,Waiter
No formal education,"Two trips, both during the holidays",Somalia,14,7,Greater access to high-paying jobs,Janitor
College degree,Has visited once for vacation,Sudan,15,8,Seeking better employment opportunities,Information Technology Specialist
No formal education,"Two trips, both during the holidays",Somalia,16,8,Greater access to high-paying jobs,Construction Worker
College degree,Has traveled to the U.S. every other summer since childhood,Poland,17,9,Escaping political/religious persecution,Waiter
No formal education,Has visited the U.S. many times as a tourist,Germany,18,9,Escalating violence in home country,Janitor
College degree,Has traveled to the U.S. every other summer since childhood,Poland,19,10,Escaping political/religious persecution,Information Technology Specialist
No formal education,Has visited the U.S. many times as a tourist,Germany,20,10,Escalating violence in home country,Construction Worker
College degree,Has traveled to the U.S. every other summer since childhood,Sudan,21,11,Escaping political/religious persecution,Waiter
No formal education,Has visited the U.S. many times as a tourist,Somalia,22,11,Escalating violence in home country,Janitor
College degree,Has traveled to the U.S. every other summer since childhood,Sudan,23,12,Escaping political/religious persecution,Information Technology Specialist
No formal education,Has visited the U.S. many times as a tourist,Somalia,24,12,Escalating violence in home country,Construction Worker
College degree,Has traveled to the U.S. every other summer since childhood,Poland,25,13,Seeking better employment opportunities,Waiter
No formal education,Has visited the U.S. many times as a tourist,Germany,26,13,Greater access to high-paying jobs,Janitor
College degree,Has traveled to the U.S. every other summer since childhood,Poland,27,14,Seeking better employment opportunities,Information Technology Specialist
No formal education,Has visited the U.S. many times as a tourist,Germany,28,14,Greater access to high-paying jobs,Construction Worker
College degree,Has traveled to the U.S. every other summer since childhood,Sudan,29,15,Seeking better employment opportunities,Waiter
No formal education,Has visited the U.S. many times as a tourist,Somalia,30,15,Greater access to high-paying jobs,Janitor
College degree,Has traveled to the U.S. every other summer since childhood,Sudan,31,16,Seeking better employment opportunities,Information Technology Specialist
No formal education,Has visited the U.S. many times as a tourist,Somalia,32,16,Greater access to high-paying jobs,Construction Worker
